,rank,song_title,artist
0,1,Lovin On Me,Jack Harlow
1,2,Cruel Summer,Taylor Swift
2,3,Greedy,Tate McRae
3,4,Paint The Town Red,Doja Cat
4,5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
5,6,Snooze,SZA
6,7,Water,Tyla
7,8,Last Night,Morgan Wallen
8,9,Fast Car,Luke Combs
9,10,Agora Hills,Doja Cat
10,11,Thinkin' Bout Me,Morgan Wallen
11,12,Lose Control,Teddy Swims
12,13,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
13,14,Lil Boo Thang,Paul Russell
14,15,Flowers,Miley Cyrus
15,16,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
16,17,FTCU,Nicki Minaj
17,18,White Horse,Chris Stapleton
18,19,Stick Season,Noah Kahan
19,20,What Was I Made For?,Billie Eilish
20,21,Vampire,Olivia Rodrigo
21,22,Need A Favor,Jelly Roll
22,23,Dance The Night,Dua Lipa
23,24,Fukumean,Gunna
24,25,World On Fire,Nate Smith
25,26,Houdini,Dua Lipa
26,27,Everybody,Nicki Minaj Featuring Lil Uzi Vert
27,28,Save Me,Jelly Roll With Lainey Wilson
28,29,First Person Shooter,Drake Featuring J. Cole
29,30,Used To Be Young,Miley Cyrus
30,31,Kill Bill,SZA
31,32,Good Good,"Usher, Summer Walker & 21 Savage"
32,33,Pretty Little Poison,Warren Zeiders
33,34,La Diabla,Xavi
34,35,On My Mama,Victoria Monet
35,36,Truck Bed,HARDY
36,37,My Love Mine All Mine,Mitski
37,38,Save Me The Trouble,Dan + Shay
38,39,Exes,Tate McRae
39,40,I Know ?,Travis Scott
40,41,Wild Ones,Jessie Murph & Jelly Roll
41,42,Strangers,Kenya Grace
42,43,Monaco,Bad Bunny
43,44,Surround Sound,JID Featuring 21 Savage & Baby Tate
44,45,The Painter,Cody Johnson
45,46,Get Him Back!,Olivia Rodrigo
46,47,Never Lose Me,Flo Milli
47,48,Dial Drunk,Noah Kahan With Post Malone
48,49,Where The Wild Things Are,Luke Combs
49,50,You Broke My Heart,Drake
50,51,IDGAF,Drake Featuring Yeat
51,52,Harley Quinn,Fuerza Regida & Marshmello
52,53,Burn It Down,Parker McCollum
53,54,Bellakeo,Peso Pluma & Anitta
54,55,La Victima,Xavi
55,56,Feather,Sabrina Carpenter
56,57,500lbs,Lil Tecca
57,58,Qlona,Karol G & Peso Pluma
58,59,I Can Feel It,Kane Brown
59,60,Hey Driver,Zach Bryan Featuring The War And Treaty
60,61,You're Losing Me (From The Vault),Taylor Swift
61,62,Mind On You,George Birge
62,63,Can't Catch Me Now,Olivia Rodrigo
63,64,Different 'Round Here,Riley Green Featuring Luke Combs
64,65,Segun Quien,Maluma & Carin Leon
65,66,Man Made A Bar,Morgan Wallen Featuring Eric Church
66,67,El Amor de Su Vida,Grupo Frontera & Grupo Firme
67,68,Soak City (Do It),310babii
68,69,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp"
69,70,Standing Next To You,Jung Kook
70,71,23,Chayce Beckham
71,72,Perro Negro,Bad Bunny & Feid
72,73,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
73,74,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
74,75,Oklahoma Smokeshow,Zach Bryan
75,76,Wondering Why,The Red Clay Strays
76,77,Mmhmm,BigXthaPlug
77,78,Great Gatsby,Rod Wave
78,79,FE!N,Travis Scott Featuring Playboi Carti
79,80,Bad Idea Right?,Olivia Rodrigo
80,81,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon"
81,82,Can't Have Mine,Dylan Scott
82,83,Needle,Nicki Minaj Featuring Drake
83,84,Virginia Beach,Drake
84,85,Rich Men North Of Richmond,Oliver Anthony Music
85,86,Northern Attitude,Noah Kahan With Hozier
86,87,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
87,88,Lace It,"Juice WRLD, Eminem & benny blanco"
88,89,Mi Ex Tenia Razon,Karol G
89,90,Run For The Hills,Tate McRae
90,91,Slime You Out,Drake Featuring SZA
91,92,Better Place,*NSYNC
92,93,"Burn, Burn, Burn",Zach Bryan
93,94,My Eyes,Travis Scott
94,95,Turks & Caicos,Rod Wave Featuring 21 Savage
95,96,Tourniquet,Zach Bryan
96,97,Y Lloro,Junior H
97,98,Murder On The Dancefloor,Sophie Ellis-Bextor
98,99,Amargura,Karol G
99,100,Wildflowers And Wild Horses,Lainey Wilson
